,Unnamed: 0,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1227,1227.0,9.0,0.58,0.25,2.0,0.104,8.0,21.0,0.99769,3.27,0.72,9.6,
811,811.0,12.9,0.5,0.55,2.8,0.072,7.0,24.0,1.00012,3.09,0.68,10.9,
943,943.0,9.8,0.5,0.34,2.3,0.094,10.0,45.0,0.99864,3.24,0.6,9.7,
1501,1501.0,7.8,0.82,0.29,4.3,0.083,21.0,64.0,0.99642,3.16,0.53,9.4,
1523,1523.0,6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4,
907,907.0,6.1,0.56,0.0,2.2,0.079,6.0,9.0,0.9948,3.59,0.54,11.5,
152,152.0,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,
1197,1197.0,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,
573,573.0,10.5,0.59,0.49,2.1,0.07,14.0,47.0,0.9991,3.3,0.56,9.6,
586,586.0,11.1,0.31,0.49,2.7,0.094,16.0,47.0,0.9986,3.12,1.02,10.6,
229,229.0,6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,
306,306.0,7.6,0.62,0.32,2.2,0.082,7.0,54.0,0.9966,3.36,0.52,9.4,
211,211.0,8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,
489,489.0,9.3,0.39,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,0.75,10.2,
574,574.0,10.6,0.34,0.49,3.2,0.078,20.0,78.0,0.9992,3.19,0.7,10.0,
350,350.0,10.7,0.67,0.22,2.7,0.107,17.0,34.0,1.0004,3.28,0.98,9.9,
902,902.0,7.4,0.635,0.1,2.4,0.08,16.0,33.0,0.99736,3.58,0.69,10.8,
64,64.0,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,
1114,1114.0,5.0,0.4,0.5,4.3,0.046,29.0,80.0,0.9902,3.49,0.66,13.6,
221,221.0,7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,9.4,
564,564.0,13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,
669,669.0,11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2,
474,474.0,10.5,0.28,0.51,1.7,0.08,10.0,24.0,0.9982,3.2,0.89,9.4,
120,120.0,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,
395,395.0,12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,
1086,1086.0,8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,
1190,1190.0,9.1,0.4,0.57,4.6,0.08,6.0,20.0,0.99652,3.28,0.57,12.5,
249,249.0,7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,
185,185.0,8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,
100,100.0,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,
612,612.0,7.5,0.64,0.0,2.4,0.077,18.0,29.0,0.9965,3.32,0.6,10.0,
1458,1458.0,8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5,
650,650.0,10.7,0.43,0.39,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,
1578,1578.0,6.8,0.67,0.15,1.8,0.118,13.0,20.0,0.9954,3.42,0.67,11.3,
792,792.0,7.1,0.61,0.02,2.5,0.081,17.0,87.0,0.99745,3.48,0.6,9.7,
35,35.0,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,
1442,1442.0,6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.99712,3.4,0.75,9.8,
577,577.0,8.8,0.44,0.49,2.8,0.083,18.0,111.0,0.9982,3.3,0.6,9.5,
1283,1283.0,8.7,0.63,0.28,2.7,0.096,17.0,69.0,0.99734,3.26,0.63,10.2,
465,465.0,10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91,9.7,
1028,1028.0,7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.99586,3.37,0.54,10.1,
9,9.0,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,
1258,1258.0,6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,
997,997.0,5.6,0.66,0.0,2.2,0.087,3.0,11.0,0.99378,3.71,0.63,12.8,
601,601.0,13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0,
510,510.0,12.4,0.42,0.49,4.6,0.073,19.0,43.0,0.9978,3.02,0.61,9.5,
1095,1095.0,9.4,0.4,0.47,2.5,0.087,6.0,20.0,0.99772,3.15,0.5,10.5,
252,252.0,11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,
1427,1427.0,7.6,0.41,0.33,2.5,0.078,6.0,23.0,0.9957,3.3,0.58,11.2,
88,88.0,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,
892,892.0,10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,
1334,1334.0,7.2,0.835,0.0,2.0,0.166,4.0,11.0,0.99608,3.39,0.52,10.0,
1579,1579.0,6.2,0.56,0.09,1.7,0.053,24.0,32.0,0.99402,3.54,0.6,11.3,
727,727.0,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68,9.5,
657,,,,,,,,,,,,,7.0
627,,,,,,,,,,,,,5.0
1455,,,,,,,,,,,,,6.0
1420,,,,,,,,,,,,,5.0
1132,,,,,,,,,,,,,7.0
743,,,,,,,,,,,,,5.0
786,,,,,,,,,,,,,5.0
998,,,,,,,,,,,,,6.0
864,,,,,,,,,,,,,5.0
540,,,,,,,,,,,,,5.0
816,,,,,,,,,,,,,6.0
941,,,,,,,,,,,,,7.0
800,,,,,,,,,,,,,5.0
1492,,,,,,,,,,,,,5.0
1331,,,,,,,,,,,,,5.0
1496,,,,,,,,,,,,,5.0
312,,,,,,,,,,,,,6.0
107,,,,,,,,,,,,,5.0
179,,,,,,,,,,,,,5.0
431,,,,,,,,,,,,,5.0
164,,,,,,,,,,,,,5.0
970,,,,,,,,,,,,,6.0
1020,,,,,,,,,,,,,6.0
752,,,,,,,,,,,,,5.0
104,,,,,,,,,,,,,5.0
170,,,,,,,,,,,,,4.0
993,,,,,,,,,,,,,5.0
1374,,,,,,,,,,,,,3.0
34,,,,,,,,,,,,,5.0
247,,,,,,,,,,,,,5.0
933,,,,,,,,,,,,,5.0
1553,,,,,,,,,,,,,5.0
782,,,,,,,,,,,,,5.0
802,,,,,,,,,,,,,7.0
1506,,,,,,,,,,,,,6.0
1532,,,,,,,,,,,,,6.0
1543,,,,,,,,,,,,,6.0
206,,,,,,,,,,,,,7.0
929,,,,,,,,,,,,,7.0
95,,,,,,,,,,,,,6.0
1415,,,,,,,,,,,,,5.0
740,,,,,,,,,,,,,6.0
1589,,,,,,,,,,,,,5.0
733,,,,,,,,,,,,,5.0
813,,,,,,,,,,,,,4.0
947,,,,,,,,,,,,,7.0
177,,,,,,,,,,,,,6.0
378,,,,,,,,,,,,,6.0
1475,,,,,,,,,,,,,7.0
155,,,,,,,,,,,,,5.0
979,,,,,,,,,,,,,5.0
702,,,,,,,,,,,,,6.0
31,,,,,,,,,,,,,6.0
138,,,,,,,,,,,,,5.0
932,,,,,,,,,,,,,6.0
1077,,,,,,,,,,,,,5.0
203,,,,,,,,,,,,,5.0
550,,,,,,,,,,,,,6.0
854,,,,,,,,,,,,,6.0
410,,,,,,,,,,,,,6.0
328,,,,,,,,,,,,,6.0
1499,,,,,,,,,,,,,6.0
1517,,,,,,,,,,,,,6.0
391,,,,,,,,,,,,,6.0
1546,,,,,,,,,,,,,5.0
1587,,,,,,,,,,,,,6.0
616,,,,,,,,,,,,,5.0
1187,,,,,,,,,,,,,6.0
769,,,,,,,,,,,,,5.0
1164,,,,,,,,,,,,,5.0
724,,,,,,,,,,,,,4.0
478,,,,,,,,,,,,,5.0
1597,,,,,,,,,,,,,5.0
632,,,,,,,,,,,,,6.0
108,,,,,,,,,,,,,6.0
849,,,,,,,,,,,,,5.0
274,,,,,,,,,,,,,5.0
357,,,,,,,,,,,,,7.0
23,,,,,,,,,,,,,5.0
29,,,,,,,,,,,,,6.0
150,,,,,,,,,,,,,6.0
794,,,,,,,,,,,,,6.0
843,,,,,,,,,,,,,5.0
856,,,,,,,,,,,,,6.0
75,,,,,,,,,,,,,5.0
515,,,,,,,,,,,,,5.0
447,,,,,,,,,,,,,5.0
345,,,,,,,,,,,,,5.0
770,,,,,,,,,,,,,6.0
1397,,,,,,,,,,,,,5.0
767,,,,,,,,,,,,,5.0
1349,,,,,,,,,,,,,5.0
20,,,,,,,,,,,,,6.0
1038,,,,,,,,,,,,,7.0
809,,,,,,,,,,,,,6.0
503,,,,,,,,,,,,,7.0
1053,,,,,,,,,,,,,7.0
1316,,,,,,,,,,,,,6.0
284,,,,,,,,,,,,,5.0
676,,,,,,,,,,,,,6.0
716,,,,,,,,,,,,,5.0
739,,,,,,,,,,,,,5.0
1139,,,,,,,,,,,,,6.0
1066,,,,,,,,,,,,,7.0
629,,,,,,,,,,,,,5.0
439,,,,,,,,,,,,,5.0
1425,,,,,,,,,,,,,6.0
71,,,,,,,,,,,,,5.0
1271,,,,,,,,,,,,,6.0
1033,,,,,,,,,,,,,6.0
1527,,,,,,,,,,,,,6.0
1172,,,,,,,,,,,,,6.0
1423,,,,,,,,,,,,,4.0
775,,,,,,,,,,,,,5.0
1297,,,,,,,,,,,,,6.0
212,,,,,,,,,,,,,6.0
243,,,,,,,,,,,,,7.0
645,,,,,,,,,,,,,7.0
1288,,,,,,,,,,,,,5.0
1421,,,,,,,,,,,,,5.0
134,,,,,,,,,,,,,6.0
462,,,,,,,,,,,,,5.0
1015,,,,,,,,,,,,,6.0
1515,,,,,,,,,,,,,6.0
367,,,,,,,,,,,,,5.0
514,,,,,,,,,,,,,7.0
1444,,,,,,,,,,,,,6.0
1166,,,,,,,,,,,,,5.0
425,,,,,,,,,,,,,7.0
885,,,,,,,,,,,,,5.0
1540,,,,,,,,,,,,,6.0
472,,,,,,,,,,,,,6.0
554,,,,,,,,,,,,,5.0
981,,,,,,,,,,,,,5.0
585,,,,,,,,,,,,,6.0
923,,,,,,,,,,,,,6.0
1208,,,,,,,,,,,,,7.0
1184,,,,,,,,,,,,,5.0
21,,,,,,,,,,,,,5.0
1228,,,,,,,,,,,,,7.0
1547,,,,,,,,,,,,,5.0
1367,,,,,,,,,,,,,6.0
491,,,,,,,,,,,,,7.0
408,,,,,,,,,,,,,6.0
626,,,,,,,,,,,,,5.0
975,,,,,,,,,,,,,5.0
1347,,,,,,,,,,,,,5.0
665,,,,,,,,,,,,,5.0
253,,,,,,,,,,,,,5.0
880,,,,,,,,,,,,,5.0
437,,,,,,,,,,,,,6.0
1049,,,,,,,,,,,,,6.0
853,,,,,,,,,,,,,6.0
180,,,,,,,,,,,,,5.0
1513,,,,,,,,,,,,,6.0
1508,,,,,,,,,,,,,6.0
1329,,,,,,,,,,,,,6.0
1373,,,,,,,,,,,,,5.0
271,,,,,,,,,,,,,6.0
1140,,,,,,,,,,,,,6.0
1275,,,,,,,,,,,,,6.0
1203,,,,,,,,,,,,,5.0
772,,,,,,,,,,,,,5.0
647,,,,,,,,,,,,,4.0
596,,,,,,,,,,,,,6.0
87,,,,,,,,,,,,,5.0
461,,,,,,,,,,,,,5.0
1465,,,,,,,,,,,,,5.0
922,,,,,,,,,,,,,6.0
972,,,,,,,,,,,,,7.0
994,,,,,,,,,,,,,5.0
417,,,,,,,,,,,,,5.0
1302,,,,,,,,,,,,,6.0
1399,,,,,,,,,,,,,6.0
1182,,,,,,,,,,,,,6.0
751,,,,,,,,,,,,,5.0
1285,,,,,,,,,,,,,5.0
1371,,,,,,,,,,,,,6.0
1511,,,,,,,,,,,,,5.0
1344,,,,,,,,,,,,,5.0
1112,,,,,,,,,,,,,6.0
1393,,,,,,,,,,,,,5.0
722,,,,,,,,,,,,,5.0
1209,,,,,,,,,,,,,7.0
1412,,,,,,,,,,,,,6.0
445,,,,,,,,,,,,,6.0
1192,,,,,,,,,,,,,7.0
499,,,,,,,,,,,,,6.0
1409,,,,,,,,,,,,,6.0
386,,,,,,,,,,,,,6.0
480,,,,,,,,,,,,,5.0
93,,,,,,,,,,,,,5.0
24,,,,,,,,,,,,,6.0
1199,,,,,,,,,,,,,6.0
356,,,,,,,,,,,,,5.0
1470,,,,,,,,,,,,,5.0
181,,,,,,,,,,,,,5.0
1179,,,,,,,,,,,,,6.0
930,,,,,,,,,,,,,5.0
288,,,,,,,,,,,,,7.0
881,,,,,,,,,,,,,6.0
456,,,,,,,,,,,,,5.0
536,,,,,,,,,,,,,5.0
677,,,,,,,,,,,,,5.0
736,,,,,,,,,,,,,5.0
406,,,,,,,,,,,,,6.0
297,,,,,,,,,,,,,5.0
1237,,,,,,,,,,,,,6.0
1050,,,,,,,,,,,,,5.0
207,,,,,,,,,,,,,5.0
861,,,,,,,,,,,,,6.0
1441,,,,,,,,,,,,,6.0
1191,,,,,,,,,,,,,5.0
342,,,,,,,,,,,,,6.0
690,,,,,,,,,,,,,3.0
841,,,,,,,,,,,,,5.0
61,,,,,,,,,,,,,5.0
1333,,,,,,,,,,,,,5.0
823,,,,,,,,,,,,,5.0
303,,,,,,,,,,,,,5.0
62,,,,,,,,,,,,,7.0
333,,,,,,,,,,,,,5.0
1174,,,,,,,,,,,,,6.0
420,,,,,,,,,,,,,7.0
165,,,,,,,,,,,,,5.0
377,,,,,,,,,,,,,7.0
1456,,,,,,,,,,,,,6.0
1379,,,,,,,,,,,,,6.0
1555,,,,,,,,,,,,,7.0
915,,,,,,,,,,,,,6.0
969,,,,,,,,,,,,,5.0
1290,,,,,,,,,,,,,5.0
1230,,,,,,,,,,,,,6.0
719,,,,,,,,,,,,,5.0
470,,,,,,,,,,,,,5.0
804,,,,,,,,,,,,,6.0
414,,,,,,,,,,,,,5.0
956,,,,,,,,,,,,,6.0
500,,,,,,,,,,,,,6.0
808,,,,,,,,,,,,,5.0
1149,,,,,,,,,,,,,6.0
1408,,,,,,,,,,,,,7.0
1311,,,,,,,,,,,,,6.0
1577,,,,,,,,,,,,,6.0
265,,,,,,,,,,,,,7.0
1256,,,,,,,,,,,,,5.0
708,,,,,,,,,,,,,6.0
244,,,,,,,,,,,,,7.0
175,,,,,,,,,,,,,5.0
714,,,,,,,,,,,,,5.0
77,,,,,,,,,,,,,6.0
1091,,,,,,,,,,,,,6.0
397,,,,,,,,,,,,,6.0
1215,,,,,,,,,,,,,6.0
1138,,,,,,,,,,,,,5.0
868,,,,,,,,,,,,,6.0
1019,,,,,,,,,,,,,5.0
1473,,,,,,,,,,,,,5.0
774,,,,,,,,,,,,,6.0
1207,,,,,,,,,,,,,5.0
314,,,,,,,,,,,,,5.0
1318,,,,,,,,,,,,,6.0
553,,,,,,,,,,,,,5.0
429,,,,,,,,,,,,,6.0
1031,,,,,,,,,,,,,7.0
286,,,,,,,,,,,,,6.0
1382,,,,,,,,,,,,,5.0
760,,,,,,,,,,,,,5.0
53,,,,,,,,,,,,,5.0
1328,,,,,,,,,,,,,5.0
1342,,,,,,,,,,,,,6.0
1083,,,,,,,,,,,,,6.0
191,,,,,,,,,,,,,6.0
896,,,,,,,,,,,,,7.0
1327,,,,,,,,,,,,,6.0
257,,,,,,,,,,,,,5.0
1387,,,,,,,,,,,,,5.0
1167,,,,,,,,,,,,,7.0
6,,,,,,,,,,,,,5.0
609,,,,,,,,,,,,,6.0
1343,,,,,,,,,,,,,6.0
1093,,,,,,,,,,,,,7.0
1107,,,,,,,,,,,,,7.0
555,,,,,,,,,,,,,5.0
176,,,,,,,,,,,,,5.0
1468,,,,,,,,,,,,,7.0
187,,,,,,,,,,,,,5.0
1160,,,,,,,,,,,,,7.0
421,,,,,,,,,,,,,7.0
194,,,,,,,,,,,,,5.0
1480,,,,,,,,,,,,,4.0
468,,,,,,,,,,,,,6.0
1251,,,,,,,,,,,,,5.0
1392,,,,,,,,,,,,,5.0
448,,,,,,,,,,,,,6.0
1351,,,,,,,,,,,,,6.0
964,,,,,,,,,,,,,6.0
125,,,,,,,,,,,,,5.0
594,,,,,,,,,,,,,5.0
1143,,,,,,,,,,,,,6.0
338,,,,,,,,,,,,,6.0
473,,,,,,,,,,,,,5.0
200,,,,,,,,,,,,,7.0
228,,,,,,,,,,,,,6.0
913,,,,,,,,,,,,,7.0
1595,,,,,,,,,,,,,6.0
936,,,,,,,,,,,,,6.0
866,,,,,,,,,,,,,6.0
1222,,,,,,,,,,,,,6.0
1350,,,,,,,,,,,,,5.0
1486,,,,,,,,,,,,,5.0
488,,,,,,,,,,,,,7.0
76,,,,,,,,,,,,,5.0
481,,,,,,,,,,,,,8.0
1171,,,,,,,,,,,,,6.0
398,,,,,,,,,,,,,6.0
496,,,,,,,,,,,,,6.0
129,,,,,,,,,,,,,5.0
463,,,,,,,,,,,,,5.0
873,,,,,,,,,,,,,7.0
78,,,,,,,,,,,,,5.0
126,,,,,,,,,,,,,5.0
236,,,,,,,,,,,,,6.0
256,,,,,,,,,,,,,5.0
1014,,,,,,,,,,,,,6.0
159,,,,,,,,,,,,,6.0
563,,,,,,,,,,,,,6.0
1466,,,,,,,,,,,,,7.0
189,,,,,,,,,,,,,5.0
1526,,,,,,,,,,,,,6.0
893,,,,,,,,,,,,,5.0
198,,,,,,,,,,,,,7.0
718,,,,,,,,,,,,,5.0
336,,,,,,,,,,,,,6.0
762,,,,,,,,,,,,,6.0
1211,,,,,,,,,,,,,5.0
337,,,,,,,,,,,,,5.0
466,,,,,,,,,,,,,6.0
988,,,,,,,,,,,,,5.0
580,,,,,,,,,,,,,5.0
1009,,,,,,,,,,,,,5.0
1259,,,,,,,,,,,,,6.0
1129,,,,,,,,,,,,,6.0
98,,,,,,,,,,,,,5.0
1202,,,,,,,,,,,,,8.0
1227,,,,,,,,,,,,,5.0
811,,,,,,,,,,,,,6.0
943,,,,,,,,,,,,,7.0
1501,,,,,,,,,,,,,5.0
1523,,,,,,,,,,,,,5.0
907,,,,,,,,,,,,,6.0
152,,,,,,,,,,,,,5.0
1197,,,,,,,,,,,,,6.0
573,,,,,,,,,,,,,4.0
586,,,,,,,,,,,,,7.0
229,,,,,,,,,,,,,5.0
306,,,,,,,,,,,,,5.0
211,,,,,,,,,,,,,6.0
489,,,,,,,,,,,,,6.0
574,,,,,,,,,,,,,6.0
350,,,,,,,,,,,,,6.0
902,,,,,,,,,,,,,7.0
64,,,,,,,,,,,,,5.0
1114,,,,,,,,,,,,,6.0
221,,,,,,,,,,,,,5.0
564,,,,,,,,,,,,,6.0
669,,,,,,,,,,,,,6.0
474,,,,,,,,,,,,,6.0
120,,,,,,,,,,,,,5.0
395,,,,,,,,,,,,,7.0
1086,,,,,,,,,,,,,7.0
1190,,,,,,,,,,,,,6.0
249,,,,,,,,,,,,,6.0
185,,,,,,,,,,,,,5.0
100,,,,,,,,,,,,,6.0
612,,,,,,,,,,,,,6.0
1458,,,,,,,,,,,,,5.0
650,,,,,,,,,,,,,5.0
1578,,,,,,,,,,,,,6.0
792,,,,,,,,,,,,,6.0
35,,,,,,,,,,,,,6.0
1442,,,,,,,,,,,,,5.0
577,,,,,,,,,,,,,5.0
1283,,,,,,,,,,,,,6.0
465,,,,,,,,,,,,,5.0
1028,,,,,,,,,,,,,6.0
9,,,,,,,,,,,,,5.0
1258,,,,,,,,,,,,,6.0
997,,,,,,,,,,,,,7.0
601,,,,,,,,,,,,,6.0
510,,,,,,,,,,,,,5.0
1095,,,,,,,,,,,,,5.0
252,,,,,,,,,,,,,5.0
1427,,,,,,,,,,,,,5.0
88,,,,,,,,,,,,,5.0
892,,,,,,,,,,,,,6.0
1334,,,,,,,,,,,,,5.0
1579,,,,,,,,,,,,,5.0
727,,,,,,,,,,,,,5.0
